University,Rank,Endowment in thousands,University,Rank,Endowment in thousands,University,Rank,Endowment in thousands,University,Rank,Endowment in thousands,University,Rank,Endowment in thousands,,,,,,,,,,,
University of Delaware ....................................................,61,"1,087,873",Texas Christian University ....................................................,61,"1,256,030","University of California, San Francisco ...............................",61,"912,957",Southern Methodist University (TX) ....................................................,61,"1,505,296",Tufts University,61,"2,405,498",,,,,,,,,,,
Weill Cornell Medical College (NY) ....................................................,62,"1,096,528",University of Delaware ....................................................,62,"1,171,166",Bowdoin College (ME) ....................................................,62,"1,216,030",Bowdoin College (ME) ....................................................,62,"1,392,760",The Rockefeller University,62,"2,365,419",,,,,,,,,,,
Soka University of America (CA) ...............................,63,"1,035,512",University of Illinois at Urbana-Champaign ....................................................,63,"1,050,492",University of Delaware ....................................................,63,"1,310,133",Carnegie Mellon University (PA) ....................................................,63,"1,318,050",The Kansas University Endowment Association,63,"2,357,413",,,,,,,,,,,
Lehigh University (PA) ....................................................,64,"1,035,593",University of Iowa ....................................................,64,"1,094,803",Carnegie Mellon University (PA) ....................................................,64,"1,235,968",University of Illinois at Urbana-Champaign ....................................................,64,"1,308,415",University of Florida Foundation Inc.,64,"2,337,110",,,,,,,,,,,
University of Iowa ....................................................,65,"981,104",Soka University of America (CA) ...............................,65,"1,117,424",University of Illinois at Urbana-Champaign ....................................................,65,"1,289,584",University of Delaware ....................................................,65,"1,341,373",University of Nebraska Board of Regents,65,"2,266,095",,,,,,,,,,,
Carnegie Mellon University (PA) ....................................................,66,"979,230",Weill Cornell Medical College (NY) ....................................................,66,"1,138,386",Weill Cornell Medical College (NY) ....................................................,66,"1,243,815",University of Iowa ....................................................,66,"1,263,043",Case Western Reserve University,66,"2,260,605",,,,,,,,,,,
Wake Forest University (NC) ....................................................,67,"1,025,069",Carnegie Mellon University (PA) ....................................................,67,"1,066,149",University of Iowa ....................................................,67,"1,251,356",Weill Cornell Medical College (NY) ....................................................,67,"1,276,986",University of Missouri System,67,"2,234,800",,,,,,,,,,,
Baylor University (TX) ....................................................,68,"964,161",Bowdoin College (ME) ....................................................,68,"1,038,640",University of Kentucky ....................................................,68,"1,215,226",University of Kentucky ....................................................,68,"1,231,557",Tulane University,68,"2,108,338",,,,,,,,,,,
University of Kentucky ....................................................,69,"947,383",Lehigh University (PA) ....................................................,69,"1,103,449",Soka University of America (CA) ...............................,69,"1,249,761","University of Cincinnati, Main Campus (OH) ....................................................",69,"1,193,540",University of Colorado Foundation,69,"2,096,061",,,,,,,,,,,
"Brigham Young University, Provo (UT) ....................................................",70,"957,010",University of Kentucky ....................................................,70,"1,054,448",Lehigh University (PA) ....................................................,70,"1,215,926",Lehigh University (PA) ....................................................,70,"1,213,207",The University System of Maryland Foundation,70,"2,095,331",,,,,,,,,,,
Syracuse University (NY) ....................................................,71,"940,056",Trinity University (TX) ....................................................,71,"1,013,929",Tulane University of Louisiana ....................................................,71,"1,169,060",Tulane University of Louisiana ....................................................,71,"1,209,322",The Board of Trustees of the University of Alabama,71,"2,088,711",,,,,,,,,,,
University of Illinois at Urbana-Champaign ....................................................,72,"996,226",Syracuse University (NY) ....................................................,72,"1,053,214","University of Cincinnati, Main Campus (OH) ....................................................",72,"1,182,040",Soka University of America (CA) ...............................,72,"1,221,435",Southern Methodist University,72,"2,041,103",,,,,,,,,,,
"University of Cincinnati, Main Campus (OH) ....................................................",73,"834,929","University of Cincinnati, Main Campus (OH) ....................................................",73,"1,044,198",Trinity University (TX) ....................................................,73,"1,187,929",Syracuse University (NY) ....................................................,73,"1,166,109",NC State University and Related Foundations,73,"2,028,201",,,,,,,,,,,
Bowdoin College (ME) ....................................................,74,"902,364",Tulane University of Louisiana ....................................................,74,"1,031,661",Wake Forest University (NC) ....................................................,74,"1,148,026",Baylor University (TX) ....................................................,74,"1,165,550",Rutgers The State University of New Jersey,74,"1,987,686",,,,,,,,,,,
Yeshiva University (NY) ....................................................,75,"931,914",Baylor University (TX) ....................................................,75,"1,061,157",Syracuse University (NY) ....................................................,75,"1,183,244",Wake Forest University (NC) ....................................................,75,"1,167,400",Washington & Lee University,75,"1,973,892",,,,,,,,,,,
Tulane University of Louisiana ....................................................,76,"946,176",Wake Forest University (NC) ....................................................,76,"1,061,638",Baylor University (TX) ....................................................,76,"1,151,201",Trinity University (TX) ....................................................,76,"1,192,777",Baylor University,76,"1,965,669",,,,,,,,,,,
Trinity University (TX) ....................................................,77,"915,918",Berea College (KY) ....................................................,77,"1,012,401",Berea College (KY) ....................................................,77,"1,137,222",Liberty University (VA) ....................................................,77,"1,054,286",Wake Forest University,77,"1,900,449",,,,,,,,,,,
Berea College (KY) ....................................................,78,"942,618",Middlebury College (VT) ....................................................,78,"972,992",Middlebury College (VT) ....................................................,78,"1,081,894",Saint Louis University (MO) ....................................................,78,"1,093,348",Syracuse University,78,"1,897,452",,,,,,,,,,,
Middlebury College (VT) ....................................................,79,"879,690",Saint Louis University (MO) ....................................................,79,"956,014",Saint Louis University (MO) ....................................................,79,"1,076,959",Berea College (KY) ....................................................,79,"1,101,476",University of Delaware,79,"1,819,783",,,,,,,,,,,
"Saint Louis University, Main Campus (MO) ....................................................",80,"852,842",Princeton Theological Seminary (NJ) ....................................................,80,"941,110",Princeton Theological Seminary (NJ) ....................................................,80,"1,042,191",Baylor College of Medicine (TX) ....................................................,80,"1,062,671",The University of Georgia and Related Foundations,80,"1,810,872",,,,,,,,,,,
Princeton Theological Seminary (NJ) ....................................................,81,"866,930",University of Tulsa (OK) ....................................................,81,"893,055",Baylor College of Medicine (TX) ....................................................,81,"988,247",University of Texas Southwestern Medical Center ....................................................,81,"974,261",University of Kentucky,81,"1,808,119",,,,,,,,,,,
University of Tulsa (OK) ....................................................,82,"802,455",Juilliard School (NY) ....................................................,82,"882,012",Liberty University (VA) ....................................................,82,"126,422",Princeton Theological Seminary (NJ) ....................................................,82,"1,075,591",Virginia Tech Foundation,82,"1,792,100",,,,,,,,,,,
Juilliard School (NY) ....................................................,83,"787,698",University of Texas Southwestern Medical Center ....................................................,83,"878,855",University of Tulsa (OK) ....................................................,83,"1,023,412",University of Georgia ...............................................,83,"1,004,987",Lehigh University,83,"1,756,174",,,,,,,,,,,
University of Texas Southwestern Medical Center ....................................................,84,"836,413",Baylor College of Medicine (TX) ....................................................,84,"844,261","University of Oklahoma, Norman Campus ....................................................",84,"965,937",Middlebury College (VT) ....................................................,84,"1,101,054",Saint Louis University,84,"1,731,282",,,,,,,,,,,
Vassar College (NY) ....................................................,85,"804,912",Vassar College (NY) ....................................................,85,"868,741",University of Georgia ...............................................,85,"939,024","University of Oklahoma, Norman Campus ....................................................",85,"1,042,859",Texas Tech University System,85,"1,715,597",,,,,,,,,,,
Berry College (GA) ....................................................,86,"821,977","University of Oklahoma, Norman Campus ....................................................",86,"845,635",Juilliard School (NY) ....................................................,86,"999,769",North Carolina State University at Raleigh ....................................................,86,"983,979",Oklahoma State University Foundation,86,"1,707,485",,,,,,,,,,,
"University of Oklahoma, Norman Campus ....................................................",87,"784,834","Indiana University, Bloomington ....................................................",87,"835,123",North Carolina State University at Raleigh ....................................................,87,"885,055","Indiana University, Bloomington ....................................................",87,"960,625",Northeastern University,87,"1,662,545",,,,,,,,,,,
Baylor College of Medicine (TX) ....................................................,88,"751,378",University of Arkansas ....................................................,88,"819,814",Vassar College (NY) ....................................................,88,"974,180",University of Tulsa (OK) ....................................................,88,"1,043,055",Trinity University,88,"1,653,589",,,,,,,,,,,
"Indiana University, Bloomington ....................................................",89,"772,185",Hamilton College (NY) ....................................................,89,"773,828",University of Texas Southwestern Medical Center ....................................................,89,"988,251","University of California, San Francisco ...............................",89,"1,426,199",Iowa State University and Foundation,89,"1,643,443",,,,,,,,,,,
University of Arkansas ....................................................,90,"770,550",Berry College (GA) ....................................................,90,"861,107","Indiana University, Bloomington ....................................................",90,"961,054",University of Utah ............................................,90,"899,178",The University of Utah,90,"1,643,031",,,,,,,,,,,
University of Miami (FL) ....................................................,91,"678,694","University of California, San Francisco ...............................",91,"766,144",University of Arkansas ....................................................,91,"929,693",Berry College (GA) ....................................................,91,"887,981",The Medical College of Wisconsin,91,"1,639,392",,,,,,,,,,,
Washington State University ....................................................,92,"737,428",North Carolina State University at Raleigh ....................................................,92,"769,404",Hamilton College (NY) ....................................................,92,"927,520","Indiana University, Purdue University, Indianapolis ....................................................",92,"825,184",The University of Tennessee System,92,"1,599,768",,,,,,,,,,,
Hamilton College (NY) ....................................................,93,"693,919",University of Louisville (KY) ....................................................,93,"757,336",Brandeis University (MA) ....................................................,93,"861,152",Juilliard School (NY) ....................................................,93,"999,377",University of Arkansas at Fayetteville and Foundation,93,"1,526,675",,,,,,,,,,,
North Carolina State University at Raleigh ....................................................,94,"635,326",Washington State University ....................................................,94,"777,644",Yeshiva University (NY) ...............................................,94,"943,467",Vassar College (NY) .....................................................,94,"982,971",Berea College,94,"1,508,415",,,,,,,,,,,
Brandeis University (MA) ....................................................,95,"674,522",Oberlin College (OH) ....................................................,95,"765,804","University of Nebraska, Lincoln ...............................................",95,"203,672",Washington State University ....................................................,95,"885,900",University of Oregon Foundation,95,"1,489,652",,,,,,,,,,,
"University of California, San Francisco ...............................",96,"655,924",Colgate University (NY) ....................................................,96,"760,825",University of Utah ............................................,96,"723,827",University of Arkansas ....................................................,96,"948,679",Wesleyan University,96,"1,481,970",,,,,,,,,,,
Oberlin College (OH) ....................................................,97,"708,238",University of Miami (FL) ....................................................,97,"777,947",Colgate University (NY) ....................................................,97,"865,882","University of Nebraska, Lincoln ...............................................",97,"906,156",Santa Clara University,97,"1,478,274",,,,,,,,,,,
Colgate University (NY) ....................................................,98,"687,474",Brandeis University (MA) ....................................................,98,"766,205",Berry College (GA) ....................................................,98,"925,698","University of Missouri, Columbia ..........................................",98,"871,126",Baylor College of Medicine,98,"1,474,202",,,,,,,,,,,
Santa Clara University (CA) ....................................................,99,"688,118",Bryn Mawr College (PA) ....................................................,99,"710,168",University of Miami (FL) ....................................................,99,"865,435",Brandeis University (MA) ....................................................,99,"915,087",Middlebury College,99,"1,468,868",,,,,,,,,,,
